ID,time,y1,censored,split,color,filter
NHP23,0,2.67761,1,All,#4682B4,0
NHP23,1,2.87737,0,All,#4682B4,0
NHP23,2,3.5798,0,All,#4682B4,0
NHP23,3,2.67761,1,All,#4682B4,0
NHP23,4,3.04435,0,All,#4682B4,0
NHP23,5,2.67761,1,All,#4682B4,0
NHP23,7,2.67761,1,All,#4682B4,0
NHP23,9,2.67761,1,All,#4682B4,0
NHP23,14,2.67761,1,All,#4682B4,0
NHP23,23,2.67761,1,All,#4682B4,0
NHP24,0,2.67761,1,All,#4682B4,0
NHP24,1,6.60313,0,All,#4682B4,0
NHP24,2,6.88481,0,All,#4682B4,0
NHP24,3,6.70148,0,All,#4682B4,0
NHP24,4,5.36674,0,All,#4682B4,0
NHP24,5,4.09461,0,All,#4682B4,0
NHP24,7,2.67761,1,All,#4682B4,0
NHP24,10,2.67761,1,All,#4682B4,0
NHP24,14,2.67761,1,All,#4682B4,0
NHP24,23,2.67761,1,All,#4682B4,0
NHP24,29,2.67761,1,All,#4682B4,0
NHP25,0,2.67761,1,All,#4682B4,0
NHP25,1,7.66239,0,All,#4682B4,0
NHP25,2,8.66695,0,All,#4682B4,0
NHP25,3,7.30899,0,All,#4682B4,0
NHP25,4,5.33231,0,All,#4682B4,0
NHP25,5,5.13204,0,All,#4682B4,0
NHP25,7,6.67645,0,All,#4682B4,0
NHP25,10,4.48878,0,All,#4682B4,0
NHP25,14,3.80698,0,All,#4682B4,0
NHP25,23,2.67761,1,All,#4682B4,0
NHP25,29,2.67761,1,All,#4682B4,0
NHP26,0,2.67761,1,All,#4682B4,0
NHP26,1,6.88538,0,All,#4682B4,0
NHP26,2,6.92821,0,All,#4682B4,0
NHP26,3,6.01803,0,All,#4682B4,0
NHP26,4,2.67761,1,All,#4682B4,0
NHP26,5,4.54001,0,All,#4682B4,0
NHP26,7,2.67761,1,All,#4682B4,0
NHP26,10,2.67761,1,All,#4682B4,0
NHP26,14,2.67761,1,All,#4682B4,0
NHP26,23,2.67761,1,All,#4682B4,0
NHP26,29,2.67761,1,All,#4682B4,0
NHP27,0,2.67761,1,All,#4682B4,0
NHP27,1,2.67761,1,All,#4682B4,0
NHP27,2,3.58506,0,All,#4682B4,0
NHP27,3,3.19303,0,All,#4682B4,0
NHP27,4,2.67761,1,All,#4682B4,0
NHP27,7,2.67761,1,All,#4682B4,0
NHP27,9,2.67761,1,All,#4682B4,0
NHP27,14,2.67761,1,All,#4682B4,0
NHP27,23,2.67761,1,All,#4682B4,0
NHP28,0,2.67761,1,All,#4682B4,0
NHP28,1,6.29539,0,All,#4682B4,0
NHP28,2,7.15607,0,All,#4682B4,0
NHP28,3,6.28532,0,All,#4682B4,0
NHP28,4,5.04278,0,All,#4682B4,0
NHP28,5,5.19899,0,All,#4682B4,0
NHP28,7,2.67761,1,All,#4682B4,0
NHP28,10,2.67761,1,All,#4682B4,0
NHP28,14,2.67761,1,All,#4682B4,0
NHP28,23,2.67761,1,All,#4682B4,0
NHP28,29,2.67761,1,All,#4682B4,0
NHP29,0,2.67761,1,All,#4682B4,0
NHP29,1,2.67761,1,All,#4682B4,0
NHP29,2,4.03088,0,All,#4682B4,0
NHP29,3,2.67761,1,All,#4682B4,0
NHP29,4,2.67761,1,All,#4682B4,0
NHP29,5,2.67761,1,All,#4682B4,0
NHP29,7,3.46132,0,All,#4682B4,0
NHP29,9,2.67761,1,All,#4682B4,0
NHP29,14,2.67761,1,All,#4682B4,0
NHP29,23,2.67761,1,All,#4682B4,0
NHP3,0,2.67761,1,All,#4682B4,0
NHP3,1,7.15801,0,All,#4682B4,0
NHP3,2,8.11821,0,All,#4682B4,0
NHP3,3,7.95986,0,All,#4682B4,0
NHP3,4,6.79977,0,All,#4682B4,0
NHP3,5,8.26243,0,All,#4682B4,0
NHP3,7,5.52546,0,All,#4682B4,0
NHP3,10,2.67761,1,All,#4682B4,0
NHP3,14,2.67761,1,All,#4682B4,0
NHP3,23,2.67761,1,All,#4682B4,0
NHP3,29,2.67761,1,All,#4682B4,0
NHP30,0,2.67761,1,All,#4682B4,0
NHP30,1,4.17963,0,All,#4682B4,0
NHP30,2,5.61661,0,All,#4682B4,0
NHP30,3,2.67761,1,All,#4682B4,0
NHP30,4,2.67761,1,All,#4682B4,0
NHP30,5,2.67761,1,All,#4682B4,0
NHP30,7,2.67761,1,All,#4682B4,0
NHP30,9,2.67761,1,All,#4682B4,0
NHP30,14,2.67761,1,All,#4682B4,0
NHP30,23,2.67761,1,All,#4682B4,0
NHP31,0,2.67761,1,All,#4682B4,0
NHP31,1,4.94395,0,All,#4682B4,0
NHP31,2,4.68351,0,All,#4682B4,0
NHP31,4,4.4279,0,All,#4682B4,0
NHP31,5,3.66557,0,All,#4682B4,0
NHP31,7,3.82357,0,All,#4682B4,0
NHP31,10,2.67761,1,All,#4682B4,0
NHP31,14,2.67761,1,All,#4682B4,0
NHP31,23,2.67761,1,All,#4682B4,0
NHP31,29,2.67761,1,All,#4682B4,0
NHP32,0,2.67761,1,All,#4682B4,0
NHP32,1,2.67761,1,All,#4682B4,0
NHP32,3,3.87332,0,All,#4682B4,0
NHP32,4,2.67761,1,All,#4682B4,0
NHP32,5,2.67761,1,All,#4682B4,0
NHP32,7,2.67761,1,All,#4682B4,0
NHP32,9,2.67761,1,All,#4682B4,0
NHP32,14,2.67761,1,All,#4682B4,0
NHP32,23,2.67761,1,All,#4682B4,0
NHP33,0,2.67761,1,All,#4682B4,0
NHP33,1,4.79573,0,All,#4682B4,0
NHP33,2,6.25168,0,All,#4682B4,0
NHP33,3,5.32285,0,All,#4682B4,0
NHP33,4,4.84668,0,All,#4682B4,0
NHP33,5,5.89199,0,All,#4682B4,0
NHP33,7,2.67761,1,All,#4682B4,0
NHP33,10,2.67761,1,All,#4682B4,0
NHP33,14,2.67761,1,All,#4682B4,0
NHP33,23,2.67761,1,All,#4682B4,0
NHP33,29,2.67761,1,All,#4682B4,0
